[],[],"[Digestive System Diseases (C06), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D007078), DiseaseCodeDTO(vocabulary=DO, code=10156), DiseaseCodeDTO(vocabulary=MONDO, code=0000955), DiseaseCodeDTO(vocabulary=MONDO, code=0006801), DiseaseCodeDTO(vocabulary=EFO, code=1000981), DiseaseCodeDTO(vocabulary=UMLS, code=C0345836)]",Ileal Cancer,4407.342,"[DiseaseSynonymDTO(name=Ileal Cancer, isPTI=false), DiseaseSynonymDTO(name=cancer of ileum, isPTI=false), DiseaseSynonymDTO(name=ileum cancer, isPTI=true), DiseaseSynonymDTO(name=Cancer of the ILEUM, isPTI=false), DiseaseSynonymDTO(name=Cancer, Ileal, isPTI=false), DiseaseSynonymDTO(name=Cancers, Ileal, isPTI=false), DiseaseSynonymDTO(name=Ileal Cancers, isPTI=false), DiseaseSynonymDTO(name=ILEUM Cancers, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Otorhinolaryngologic Diseases (C09), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D004428), DiseaseCodeDTO(vocabulary=DO, code=5101), DiseaseCodeDTO(vocabulary=DO, code=833), DiseaseCodeDTO(vocabulary=MONDO, code=0003277), DiseaseCodeDTO(vocabulary=UMLS, code=C0751094)]",Ear Auricle Cancers,4373.211,"[DiseaseSynonymDTO(name=Ear Auricle Cancers, isPTI=false), DiseaseSynonymDTO(name=Ear Auricle Cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer of Ear Auricle, isPTI=false), DiseaseSynonymDTO(name=Auricular Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Auricular, isPTI=false), DiseaseSynonymDTO(name=Cancers, Auricular, isPTI=false), DiseaseSynonymDTO(name=cancer ear, isPTI=false), DiseaseSynonymDTO(name=cancer of the ear, isPTI=false), DiseaseSynonymDTO(name=ear cancer, isPTI=true), DiseaseSynonymDTO(name=ear cancers, isPTI=false), DiseaseSynonymDTO(name=auricular cancer, isPTI=false)]",disease
[],[],"[Neoplasms (C04), Urogenital Diseases (C12)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D014328), DiseaseCodeDTO(vocabulary=DO, code=4085), DiseaseCodeDTO(vocabulary=MONDO, code=0002872), DiseaseCodeDTO(vocabulary=UMLS, code=C0751567)]","Cancer, Trophoblast",4370.827,"[DiseaseSynonymDTO(name=Cancer, Trophoblast, isPTI=false), DiseaseSynonymDTO(name=Cancers, Trophoblast, isPTI=false), DiseaseSynonymDTO(name=Trophoblast Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Trophoblastic, isPTI=false), DiseaseSynonymDTO(name=Cancers, Trophoblastic, isPTI=false), DiseaseSynonymDTO(name=Trophoblastic Cancers, isPTI=false), DiseaseSynonymDTO(name=Trophoblast Cancer, isPTI=false), DiseaseSynonymDTO(name=Trophoblastic Cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C4721779)]",Ovarian epithelial cancer stage IV,4321.2,"[DiseaseSynonymDTO(name=Ovarian epithelial cancer stage IV, isPTI=true), DiseaseSynonymDTO(name=Ovarian epithelial cancer metastatic, isPTI=true), DiseaseSynonymDTO(name=cancer iv ovarian stage, isPTI=false), DiseaseSynonymDTO(name=ovarian cancer stage iv, isPTI=false), DiseaseSynonymDTO(name=metastatic ovarian cancer, isPTI=true), DiseaseSynonymDTO(name=stage iv ovarian cancer, isPTI=false), DiseaseSynonymDTO(name=Ovarian cancer metastatic, isPTI=true), DiseaseSynonymDTO(name=stage IV ovarian epithelial cancer, isPTI=false), DiseaseSynonymDTO(name=metastatic ovarian epithelial cancer, isPTI=false), DiseaseSynonymDTO(name=metastatic ovary cancer, isPTI=false), DiseaseSynonymDTO(name=ovarian cancer, metastatic, isPTI=false), DiseaseSynonymDTO(name=ovarian cancer, stage IV, isPTI=false), DiseaseSynonymDTO(name=ovarian epithelial cancer, metastatic, isPTI=false), DiseaseSynonymDTO(name=ovarian epithelial cancer, stage IV, isPTI=false), DiseaseSynonymDTO(name=ovary cancer, metastatic, isPTI=false), DiseaseSynonymDTO(name=ovary cancer, stage IV, isPTI=false), DiseaseSynonymDTO(name=stage IV ovary cancer, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D018295), DiseaseCodeDTO(vocabulary=DO, code=2513), DiseaseCodeDTO(vocabulary=MONDO, code=0020799), DiseaseCodeDTO(vocabulary=EFO, code=1001763), DiseaseCodeDTO(vocabulary=UMLS, code=C0751676)]",Basal Cell Cancers,4317.452,"[DiseaseSynonymDTO(name=Basal Cell Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Basal Cell, isPTI=false), DiseaseSynonymDTO(name=Cancers, Basal Cell, isPTI=false), DiseaseSynonymDTO(name=Cell Cancer, Basal, isPTI=false), DiseaseSynonymDTO(name=Cell Cancers, Basal, isPTI=false), DiseaseSynonymDTO(name=basal cell cancer, isPTI=true), DiseaseSynonymDTO(name=basal cancer cell, isPTI=false), DiseaseSynonymDTO(name=Basal cell skin cancer, isPTI=false), DiseaseSynonymDTO(name=cancer of the skin, basal cell, isPTI=false), DiseaseSynonymDTO(name=skin cancer, basal cell, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C4005), DiseaseCodeDTO(vocabulary=MONDO, code=0006517), DiseaseCodeDTO(vocabulary=EFO, code=1000654), DiseaseCodeDTO(vocabulary=UMLS, code=C0278704)]",pediatric cancer,4312.6543,"[DiseaseSynonymDTO(name=pediatric cancer, isPTI=false), DiseaseSynonymDTO(name=cancer pediatric, isPTI=false), DiseaseSynonymDTO(name=cancer childhood, isPTI=false), DiseaseSynonymDTO(name=cancers childhood, isPTI=false), DiseaseSynonymDTO(name=cancers pediatric, isPTI=false), DiseaseSynonymDTO(name=cancer pediatrics, isPTI=false), DiseaseSynonymDTO(name=childhood cancer, isPTI=true), DiseaseSynonymDTO(name=pediatric neoplasm/cancer, isPTI=true), DiseaseSynonymDTO(name=pediatric neoplasm, isPTI=false), DiseaseSynonymDTO(name=Cancer in Children, isPTI=true), DiseaseSynonymDTO(name=Childhood Malignant Neoplasm, isPTI=true), DiseaseSynonymDTO(name=Malignant Childhood Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Malignant Pediatric Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Pediatric Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Malignant Childhood Tumor, isPTI=false), DiseaseSynonymDTO(name=cancer, childhood, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D009373), DiseaseCodeDTO(vocabulary=DO, code=2994), DiseaseCodeDTO(vocabulary=DO, code=3095), DiseaseCodeDTO(vocabulary=DO, code=688), DiseaseCodeDTO(vocabulary=ORDO, code=3399), DiseaseCodeDTO(vocabulary=EFO, code=0005784), DiseaseCodeDTO(vocabulary=EFO, code=1000352), DiseaseCodeDTO(vocabulary=UMLS, code=C0740345)]","Cancer, Germ Cell",4262.3906,"[DiseaseSynonymDTO(name=Cancer, Germ Cell, isPTI=false), DiseaseSynonymDTO(name=Cancers, Germ Cell, isPTI=false), DiseaseSynonymDTO(name=Germ Cell Cancers, isPTI=false), DiseaseSynonymDTO(name=germ cell cancer, isPTI=true), DiseaseSynonymDTO(name=cancer cells germ, isPTI=false), DiseaseSynonymDTO(name=Germ cell cancer NOS, isPTI=false), DiseaseSynonymDTO(name=Germ cell tumor, isPTI=true)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D009381), DiseaseCodeDTO(vocabulary=NCI, code=C27209), DiseaseCodeDTO(vocabulary=UMLS, code=C0751366)]",RAD IND CANCER,4240.253,"[DiseaseSynonymDTO(name=RAD IND CANCER, isPTI=false), DiseaseSynonymDTO(name=Cancer, Radiation Induced, isPTI=false), DiseaseSynonymDTO(name=Cancers, Radiation-Induced, isPTI=false), DiseaseSynonymDTO(name=Radiation Induced Cancer, isPTI=false), DiseaseSynonymDTO(name=Radiation-Induced Cancers, isPTI=false), DiseaseSynonymDTO(name=cancer induced radiation, isPTI=false), DiseaseSynonymDTO(name=radiation related neoplasm/cancer, isPTI=true), DiseaseSynonymDTO(name=radiation related cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer, Radiation-Induced, isPTI=false), DiseaseSynonymDTO(name=Radiation-Induced Cancer, isPTI=false), DiseaseSynonymDTO(name=Radiation-Induced Malignant Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Radiation-Related Cancer, isPTI=false), DiseaseSynonymDTO(name=Radiation-Related Malignant Neoplasm, isPTI=true)]",disease
[],"[Neoplasm (02664), Abnormality of the respiratory system (02086), Abnormality of head or neck (00152)]","[Musculoskeletal Diseases (C05), Otorhinolaryngologic Diseases (C09), Neoplasms (C04), Respiratory Tract Diseases (C08)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D009669), DiseaseCodeDTO(vocabulary=HPO, code=HP:0012720), DiseaseCodeDTO(vocabulary=UMLS, code=C0751394)]",Malignant neoplasm of nose,4237.7715,"[DiseaseSynonymDTO(name=Malignant neoplasm of nose, isPTI=false), DiseaseSynonymDTO(name=Cancer, Nasal, isPTI=false), DiseaseSynonymDTO(name=Nasal Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancers, Nasal, isPTI=false), DiseaseSynonymDTO(name=Cancers, Nose, isPTI=false), DiseaseSynonymDTO(name=Nose Cancers, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of nose NOS, isPTI=false), DiseaseSynonymDTO(name=of nose cancer, isPTI=false), DiseaseSynonymDTO(name=cancer of nose, isPTI=false), DiseaseSynonymDTO(name=cancer of the nose, isPTI=false), DiseaseSynonymDTO(name=cancer nose, isPTI=false), DiseaseSynonymDTO(name=nose cancer, isPTI=true), DiseaseSynonymDTO(name=Cancer, Nose, isPTI=false), DiseaseSynonymDTO(name=Nasal Cancer, isPTI=true), DiseaseSynonymDTO(name=Malignant neoplasm of nose NOS (disorder), isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of nose (diagnosis), isPTI=false), DiseaseSynonymDTO(name=Nose--Cancer, isPTI=true), DiseaseSynonymDTO(name=Malignant neoplasm of nose, NOS, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Digestive System Diseases (C06), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D001650), DiseaseCodeDTO(vocabulary=NCI, code=C27814), DiseaseCodeDTO(vocabulary=DO, code=4606), DiseaseCodeDTO(vocabulary=DO, code=4896), DiseaseCodeDTO(vocabulary=DO, code=4897), DiseaseCodeDTO(vocabulary=DO, code=4947), DiseaseCodeDTO(vocabulary=MONDO, code=0005496), DiseaseCodeDTO(vocabulary=MONDO, code=0021662), DiseaseCodeDTO(vocabulary=EFO, code=0005221), DiseaseCodeDTO(vocabulary=EFO, code=0005540), DiseaseCodeDTO(vocabulary=UMLS, code=C0740277)]","Bile ducts, cancer of",4234.965,"[DiseaseSynonymDTO(name=Bile ducts, cancer of, isPTI=false), DiseaseSynonymDTO(name=Bile Duct Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancers, Bile Duct, isPTI=false), DiseaseSynonymDTO(name=cancer of the bile duct, isPTI=false), DiseaseSynonymDTO(name=bile duct carcinoma, isPTI=false), DiseaseSynonymDTO(name=carcinoma bile duct, isPTI=false), DiseaseSynonymDTO(name=bile cancer duct, isPTI=false), DiseaseSynonymDTO(name=cancer of bile duct, isPTI=false), DiseaseSynonymDTO(name=bile duct cancer, isPTI=true), DiseaseSynonymDTO(name=bile ducts cancer, isPTI=false), DiseaseSynonymDTO(name=cancer bile duct, isPTI=false), DiseaseSynonymDTO(name=Cancer, Bile Duct, isPTI=false), DiseaseSynonymDTO(name=Bile ducts--Cancer, isPTI=true), DiseaseSynonymDTO(name=Bile duct cancer NOS, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D009373), DiseaseCodeDTO(vocabulary=DO, code=2994), DiseaseCodeDTO(vocabulary=DO, code=3095), DiseaseCodeDTO(vocabulary=DO, code=688), DiseaseCodeDTO(vocabulary=EFO, code=0005784), DiseaseCodeDTO(vocabulary=UMLS, code=C0751364)]","Cancers, Embryonal",4218.7617,"[DiseaseSynonymDTO(name=Cancers, Embryonal, isPTI=false), DiseaseSynonymDTO(name=Embryonal Cancer, isPTI=false), DiseaseSynonymDTO(name=Embryonal Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Embryonal, isPTI=false)]",disease
[],[],"[Pathological Conditions, Signs and Symptoms (C23), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D018365), DiseaseCodeDTO(vocabulary=UMLS, code=C0242594)]","Cancer, Residual",4217.95,"[DiseaseSynonymDTO(name=Cancer, Residual, isPTI=false), DiseaseSynonymDTO(name=Residual Cancers, isPTI=false), DiseaseSynonymDTO(name=residual cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C0920423)]",cancer seed,4217.773,"[DiseaseSynonymDTO(name=cancer seed, isPTI=false), DiseaseSynonymDTO(name=cancer seeds, isPTI=false), DiseaseSynonymDTO(name=cancer seeded, isPTI=false), DiseaseSynonymDTO(name=cancer seeding, isPTI=true)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Digestive System Diseases (C06), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C27131), DiseaseCodeDTO(vocabulary=DO, code=10541), DiseaseCodeDTO(vocabulary=MONDO, code=0001060), DiseaseCodeDTO(vocabulary=UMLS, code=C0349530)]",Early gastric cancer,4215.764,"[DiseaseSynonymDTO(name=Early gastric cancer, isPTI=false), DiseaseSynonymDTO(name=gastric neoplasm malignant early cancer, isPTI=false), DiseaseSynonymDTO(name=Early gastric cancer (diagnosis), isPTI=false), DiseaseSynonymDTO(name=EGC - Early gastric cancer, isPTI=false), DiseaseSynonymDTO(name=Early gastric cancer (disorder), isPTI=false), DiseaseSynonymDTO(name=EGC, isPTI=false), DiseaseSynonymDTO(name=Microinvasive Gastric Cancer, isPTI=false), DiseaseSynonymDTO(name=Superficial Gastric Cancer, isPTI=false), DiseaseSynonymDTO(name=Superficial Spreading Gastric Cancer, isPTI=false), DiseaseSynonymDTO(name=Surface Gastric Cancer, isPTI=false)]",disease
[],[],"[Neoplasms (C04), Endocrine System Diseases (C19), Urogenital Diseases (C12)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C7833), DiseaseCodeDTO(vocabulary=UMLS, code=C0278689)]",Ovarian cancer recurrent,4214.4497,"[DiseaseSynonymDTO(name=Ovarian cancer recurrent, isPTI=true), DiseaseSynonymDTO(name=Ovarian epithelial cancer recurrent, isPTI=true), DiseaseSynonymDTO(name=recurrent ovarian carcinoma, isPTI=false), DiseaseSynonymDTO(name=recurrent ovarian cancer, isPTI=true), DiseaseSynonymDTO(name=Recurrent ovarian cancer (disorder), isPTI=false), DiseaseSynonymDTO(name=Relapsed ovarian cancer, isPTI=false), DiseaseSynonymDTO(name=Recurrent ovarian cancer (diagnosis), isPTI=false), DiseaseSynonymDTO(name=recurrent ovarian epithelial cancer, isPTI=false), DiseaseSynonymDTO(name=ovarian cancer, recurrent, isPTI=false), DiseaseSynonymDTO(name=ovarian carcinoma, recurrent, isPTI=false), DiseaseSynonymDTO(name=ovarian epithelial cancer, recurrent, isPTI=false), DiseaseSynonymDTO(name=ovary cancer, recurrent, isPTI=false), DiseaseSynonymDTO(name=recurrent ovary cancer, isPTI=false), DiseaseSynonymDTO(name=Recurrent Carcinoma of Ovary, isPTI=false), DiseaseSynonymDTO(name=Recurrent Carcinoma of the Ovary, isPTI=false), DiseaseSynonymDTO(name=Recurrent Epithelial Cancer of Ovary, isPTI=false), DiseaseSynonymDTO(name=Recurrent Epithelial Cancer of the Ovary, isPTI=false), DiseaseSynonymDTO(name=Relapsed Carcinoma of Ovary, isPTI=false), DiseaseSynonymDTO(name=Relapsed Carcinoma of the Ovary, isPTI=false), DiseaseSynonymDTO(name=Relapsed Epithelial Cancer of Ovary, isPTI=false), DiseaseSynonymDTO(name=Relapsed Epithelial Cancer of the Ovary, isPTI=false), DiseaseSynonymDTO(name=Relapsed Ovarian Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Relapsed Ovarian Epithelial Cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C0851135)]",cancers situ,4194.7417,"[DiseaseSynonymDTO(name=cancers situ, isPTI=false), DiseaseSynonymDTO(name=cancer in situ, isPTI=false), DiseaseSynonymDTO(name=in situ cancer, isPTI=true), DiseaseSynonymDTO(name=Cancer in situ NOS, isPTI=false)]",disease
